,AC_POWER
436,0.0
435,0.0
443,0.0
434,0.0
432,0.0
431,0.0
430,0.0
429,0.0
428,0.0
427,0.0
426,0.0
425,0.0
433,0.0
69214,0.0
444,0.0
446,0.0
69216,0.0
69217,0.0
69218,0.0
69219,0.0
69220,0.0
69221,0.0
69222,0.0
69223,0.0
445,0.0
69225,0.0
69227,0.0
69228,0.0
69229,0.0
69230,0.0
69232,0.0
69233,0.0
69234,0.0
69235,0.0
69226,0.0
69231,0.0
69255,0.0
450,0.0
69254,0.0
69253,0.0
69252,0.0
69251,0.0
69250,0.0
69249,0.0
69248,0.0
69247,0.0
69246,0.0
69245,0.0
69244,0.0
69243,0.0
69242,0.0
69241,0.0
69240,0.0
69239,0.0
69238,0.0
69237,0.0
69236,0.0
447,0.0
69256,0.0
69257,0.0
460,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
449,0.0
448,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
461,0.0
468,0.0
469,0.0
470,0.0
471,0.0
69267,0.0
69279,0.0
69258,0.0
69259,0.0
69260,0.0
69261,0.0
69262,0.0
69263,0.0
69264,0.0
69265,0.0
69266,0.0
472,0.0
69268,0.0
69269,0.0
69270,0.0
69271,0.0
69272,0.0
69273,0.0
69274,0.0
69275,0.0
69276,0.0
69277,0.0
69278,0.0
474,0.0
473,0.0
475,0.0
486,0.0
488,0.0
487,0.0
485,0.0
484,0.0
482,0.0
483,0.0
480,0.0
479,0.0
478,0.0
477,0.0
476,0.0
481,0.0
69292,0.0
69290,0.0
69291,0.0
69293,0.0
69300,0.0
69296,0.0
69297,0.0
69289,0.0
69295,0.0
69288,0.0
69281,0.0
69286,0.0
69285,0.0
69284,0.0
69283,0.0
69282,0.0
69298,0.0
69280,0.0
69301,0.0
69287,0.0
509,0.0
69294,0.0
69299,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
508,0.0
506,0.0
507,0.0
69306,14.633333333333338
69323,13.1
69322,14.600000000000003
69321,15.133333333333333
69320,14.546666666666669
69319,14.86
69318,14.446666666666664
69317,16.03333333333333
69316,15.9
69305,14.44
69315,15.213333333333331
69313,11.013333333333332
69312,15.159999999999997
69311,13.993333333333334
69310,14.453333333333337
69309,14.586666666666668
69308,14.673333333333336
69307,15.02
69302,14.86
69314,14.679999999999998
69304,14.84
510,3.585714286
69303,14.246666666666668
529,5.5
528,5.275
527,5.275
526,3.7375
525,5.075
524,3.75
523,3.6
522,4.85
521,4.028571429
520,3.571428571
519,5.425
518,2.366666667
517,5.671428571
516,4.228571429
515,0.0
514,5.25
513,5.628571429
530,3.3625
512,5.585714286
511,5.1625
69328,26.293333333333333
69345,25.01333333333333
69344,25.87333333333333
69343,26.88666666666667
69342,25.4
69341,25.9
69340,26.63333333333333
69339,26.486666666666665
69338,26.88
69327,23.79285714285714
69337,27.15333333333333
69335,20.278571428571425
69334,27.01333333333333
69333,25.33333333333333
69332,25.92
69331,27.613333333333337
69325,24.35333333333333
69330,25.564285714285717
69329,25.32857142857143
69336,26.26
69326,26.50666666666667
550,29.08571429
549,30.18571429
551,26.84285714
548,29.84285714
547,30.08571429
546,29.25714286
545,30.47142857
544,29.67142857
543,28.95714286
542,28.85714286
541,27.0125
69324,26.493333333333336
539,28.63333333
540,30.44285714
532,30.01428571
533,30.775
534,30.5625
531,26.8625
536,5.9125
537,30.4375
538,29.32857143
535,30.1
69364,56.91333333333333
69357,43.086666666666666
69363,57.273333333333326
69362,56.692857142857136
69361,58.92857142857142
69360,61.29333333333333
69359,59.47857142857142
69358,55.72142857142857
69356,58.092857142857135
69351,57.3
69354,59.46666666666666
69353,57.24285714285715
69352,56.900000000000006
69350,60.42666666666666
69349,50.3
69348,58.43571428571429
69347,53.614285714285714
69346,57.02857142857143
69365,58.1
69355,54.32142857142857
69367,53.785714285714285
69366,59.15333333333333
567,68.1375
564,65.5875
563,60.77142857
562,69.7375
568,66.2125
569,67.475
570,66.1125
571,66.775
572,66.0125
573,59.55
565,65.95
566,66.575
561,65.35
560,67.625
558,69.02857143
557,69.42857143
556,67.1375
559,84.8
554,69.8
553,69.2
552,60.68571429
555,68.24285714
583,125.75
588,123.1142857
587,136.6
586,123.8285714
585,117.8125
69368,154.48666666666668
582,134.6428571
69369,145.60666666666668
580,126.6714286
579,134.075
578,129.8857143
589,126.0857143
576,127.4142857
575,130.1428571
574,119.275
581,125.9625
577,130.4875
584,131.5
592,128.5142857
69385,159.30000000000004
69384,153.04666666666668
69383,156.76000000000002
69382,163.32857142857142
69381,161.42666666666665
69380,151.66666666666669
69379,118.62666666666668
69386,158.42
69378,155.83333333333331
69376,159.32857142857145
69375,153.57333333333332
69374,158.73333333333332
69373,160.79333333333338
69372,161.0857142857143
69371,138.15333333333334
69370,158.36666666666665
69377,146.31999999999996
591,125.6857143
69387,157.5
590,126.3714286
593,130.0142857
594,123.1571429
595,113.4571429
69388,157.1357142857143
69389,144.16666666666669
613,185.8125
596,170.0142857
597,195.1
600,188.25
601,190.3714286
610,182.475
603,182.5857143
604,186.7
605,183.3857143
606,197.0
612,184.0125
607,170.5
608,183.8375
609,184.38
611,182.8375
602,189.9125
599,186.7
615,185.9625
69408,302.2799999999999
69407,308.21333333333325
69406,307.32666666666665
69405,310.94
69404,308.5999999999999
69403,316.3066666666667
69402,305.96666666666664
69401,241.93333333333337
69400,310.16666666666663
69399,294.8533333333334
69398,301.3533333333333
69397,308.56666666666666
69396,304.99333333333334
69395,309.4266666666666
69394,304.96000000000004
69393,280.68
69392,307.0333333333333
69391,286.89333333333326
69390,308.34000000000003
69409,311.14666666666665
614,183.625
69410,296.14000000000004
616,184.075
617,162.675
598,192.45
69411,288.26000000000005
635,202.1714286
618,181.9375
619,207.2714286
620,204.9285714
621,199.5285714
622,205.7285714
623,204.7428571
625,198.225
626,203.5571429
628,210.1714286
629,183.65
630,199.6285714
631,199.4833333
632,196.5142857
633,197.2571429
634,200.6142857
624,198.4714286
627,195.6125
639,177.8857143
69428,387.98666666666657
69425,393.0466666666666
69424,386.65333333333336
69423,306.7933333333334
69422,388.50666666666666
69421,370.69333333333327
69420,370.66666666666663
69426,378.7466666666666
69419,385.0066666666667
69417,378.62
69416,375.8466666666666
69415,355.18
69414,379.0866666666667
69413,357.9866666666666
69412,386.72
69418,374.3133333333333
69427,393.19333333333327
638,197.5571429
69430,369.38666666666666
69431,388.68666666666667
69432,365.6933333333334
69433,362.46
636,200.5571429
637,203.2285714
69429,379.17333333333335
650,206.85
652,193.5125
653,193.5833333
654,191.9375
655,191.2625
659,198.6
657,195.925
658,194.8571429
660,192.825
661,170.5375
656,193.0375
651,182.8
69450,464.16
69444,467.08
69443,445.0199999999999
69445,364.48666666666657
69455,435.46
69454,445.1666666666666
69453,468.4066666666666
69452,446.5071428571428
69451,455.91428571428565
69448,459.20666666666665
69447,474.9
69446,461.8399999999999
69442,450.6133333333333
69441,463.29333333333335
69440,452.75714285714287
69439,456.65
69449,470.9933333333333
69437,423.98
69438,456.62
640,180.5857143
642,203.05
643,196.275
641,203.7125
645,202.85
646,201.2
644,198.3625
647,193.1285714
648,199.6285714
649,191.4142857
69434,464.88666666666666
69435,432.4733333333333
69436,459.58
69456,552.8285714285713
69457,513.8357142857143
69458,546.8571428571429
69459,502.25000000000006
662,184.0625
69461,544.92
69468,547.24
69463,550.9214285714286
69464,541.1533333333334
69465,528.36
69466,555.9000000000002
69467,431.8785714285714
69469,564.6357142857141
69470,549.6733333333333
663,210.0714286
69462,540.7266666666667
664,208.1142857
679,186.5428571
666,207.9571429
683,174.6428571
682,195.4428571
681,201.9375
680,200.325
69471,558.1428571428572
678,201.0285714
677,192.2714286
665,200.7857143
676,185.9714286
674,196.0857143
673,185.3
672,213.4285714
671,197.6875
670,202.6428571
669,200.125
667,205.8285714
675,198.7285714
69472,549.6066666666667
668,203.1142857
69474,533.2333333333336
69473,543.6666666666665
69477,518.1133333333332
69460,548.6999999999999
69475,555.2357142857143
69476,535.4466666666667
69478,569.4066666666665
686,268.625
687,269.15
688,315.05
689,282.675
690,272.8375
692,307.5875
694,276.4625
685,275.4625
695,286.8142857
697,311.5142857
698,293.575
699,278.1857143
700,294.3125
701,313.5375
702,308.6428571
703,312.3
704,279.2625
705,257.2571429
696,286.3
684,318.6714286
693,273.4428571
69479,524.0866666666666
69480,557.16
69481,515.8266666666667
69482,566.5785714285713
